0.000000    | 0.000000    0.000000    | 0.000050    10.000000    
0.100000    | -0.046784    -0.904775    | 0.951641    9.046860    
0.200000    | -0.175203    -1.636889    | 1.812157    8.175844    
0.300000    | -0.369193    -2.219808    | 2.589052    7.372207    
0.400000    | -0.614861    -2.673542    | 3.288443    6.623985    
0.500000    | -0.900167    -3.015178    | 3.915374    5.921582    
0.600000    | -1.214651    -3.259361    | 4.474031    5.257384    
0.700000    | -1.549213    -3.418699    | 4.967924    4.625429    
0.800000    | -1.895928    -3.504105    | 5.400038    4.021128    
0.900000    | -2.247887    -3.525070    | 5.772956    3.441036    
1.000000    | -2.599072    -3.489902    | 6.088967    2.882647    
1.100000    | -2.944241    -3.405920    | 6.350150    2.344229    
1.200000    | -3.278845    -3.279611    | 6.558442    1.824678    
1.300000    | -3.598946    -3.116766    | 6.715695    1.323400    
1.400000    | -3.901155    -2.922590    | 6.823724    0.840205    
1.500000    | -4.182577    -2.701788    | 6.884342    0.375216    
1.600000    | -4.440768    -2.458643    | 6.899386    -0.071197    
1.700000    | -4.673692    -2.197075    | 6.870740    -0.498491    
1.800000    | -4.879689    -1.920686    | 6.800347    -0.905998    
1.900000    | -5.057447    -1.632807    | 6.690225    -1.292972    
2.000000    | -5.205971    -1.336523    | 6.542464    -1.658628    
2.100000    | -5.324567    -1.034699    | 6.359236    -2.002179    
2.200000    | -5.412815    -0.730006    | 6.142790    -2.322857    
2.300000    | -5.470555    -0.424926    | 5.895451    -2.619941    
2.400000    | -5.497865    -0.121776    | 5.619611    -2.892775    
2.500000    | -5.495047    0.177293    | 5.317724    -3.140784    
2.600000    | -5.462609    0.470283    | 4.992298    -3.363486    
2.700000    | -5.401255    0.755344    | 4.645883    -3.560503    
2.800000    | -5.311862    1.030773    | 4.281062    -3.731570    
2.900000    | -5.195473    1.295009    | 3.900439    -3.876536    
3.000000    | -5.053281    1.546630    | 3.506626    -3.995372    
3.100000    | -4.886611    1.784355    | 3.102232    -4.088173    
3.200000    | -4.696911    2.007038    | 2.689852    -4.155157    
3.300000    | -4.485738    2.213668    | 2.272050    -4.196663    
3.400000    | -4.254742    2.403370    | 1.851354    -4.213151    
3.500000    | -4.005653    2.575402    | 1.430235    -4.205198    
3.600000    | -3.740271    2.729151    | 1.011106    -4.173496    
3.700000    | -3.460449    2.864135    | 0.596301    -4.118843    
3.800000    | -3.168082    2.979999    | 0.188072    -4.042140    
3.900000    | -2.865094    3.076511    | -0.211425    -3.944385    
4.000000    | -2.553428    3.153561    | -0.600139    -3.826664    
4.100000    | -2.235031    3.211157    | -0.976131    -3.690146    
4.200000    | -1.911841    3.249422    | -1.337583    -3.536073    
4.300000    | -1.585783    3.268586    | -1.682804    -3.365752    
4.400000    | -1.258750    3.268988    | -2.010238    -3.180549    
4.500000    | -0.932596    3.251064    | -2.318465    -2.981877    
4.600000    | -0.609130    3.215347    | -2.606212    -2.771189    
4.700000    | -0.290100    3.162457    | -2.872352    -2.549970    
4.800000    | 0.022812    3.093101    | -3.115905    -2.319725    
4.900000    | 0.327998    3.008058    | -3.336047    -2.081975    
5.000000    | 0.623930    2.908182    | -3.532101    -1.838244    
5.100000    | 0.909170    2.794389    | -3.703547    -1.590051    
5.200000    | 1.182376    2.667650    | -3.850013    -1.338904    
5.300000    | 1.442303    2.528990    | -3.971279    -1.086291    
5.400000    | 1.687812    2.379474    | -4.067271    -0.833670    
5.500000    | 1.917872    2.220204    | -4.138060    -0.582466    
5.600000    | 2.131565    2.052309    | -4.183857    -0.334058    
5.700000    | 2.328085    1.876942    | -4.205009    -0.089779    
5.800000    | 2.506743    1.695268    | -4.201993    0.149097    
5.900000    | 2.666968    1.508462    | -4.175411    0.381354    
6.000000    | 2.808304    1.317697    | -4.125981    0.605847    
6.100000    | 2.930414    1.124141    | -4.054536    0.821498    
6.200000    | 3.033078    0.928952    | -3.962010    1.027309    
6.300000    | 3.116188    0.733265    | -3.849433    1.222358    
6.400000    | 3.179751    0.538193    | -3.717925    1.405809    
6.500000    | 3.223883    0.344819    | -3.568683    1.576910    
6.600000    | 3.248807    0.154189    | -3.402977    1.734998    
6.700000    | 3.254846    -0.032691    | -3.222137    1.879496    
6.800000    | 3.242425    -0.214861    | -3.027547    2.009922    
6.900000    | 3.212061    -0.391410    | -2.820635    2.125882    
7.000000    | 3.164359    -0.561480    | -2.602863    2.227074    
7.100000    | 3.100008    -0.724273    | -2.375719    2.313286    
7.200000    | 3.019772    -0.879048    | -2.140709    2.384395    
7.300000    | 2.924488    -1.025129    | -1.899345    2.440367    
7.400000    | 2.815057    -1.161905    | -1.653139    2.481253    
7.500000    | 2.692436    -1.288831    | -1.403593    2.507189    
7.600000    | 2.557635    -1.405432    | -1.152192    2.518390    
7.700000    | 2.411707    -1.511301    | -0.900396    2.515151    
7.800000    | 2.255743    -1.606104    | -0.649631    2.497840    
7.900000    | 2.090864    -1.689574    | -0.401283    2.466893    
8.000000    | 1.918213    -1.761516    | -0.156690    2.422816    
8.100000    | 1.738950    -1.821806    | 0.082862    2.366174    
8.200000    | 1.554242    -1.870385    | 0.316147    2.297591    
8.300000    | 1.365263    -1.907264    | 0.542004    2.217742    
8.400000    | 1.173177    -1.932519    | 0.759343    2.127347    
8.500000    | 0.979142    -1.946289    | 0.967148    2.027172    
8.600000    | 0.784296    -1.948774    | 1.164479    1.918017    
8.700000    | 0.589754    -1.940235    | 1.350479    1.800713    
8.800000    | 0.396606    -1.920986    | 1.524378    1.676118    
8.900000    | 0.205902    -1.891395    | 1.685489    1.545110    
9.000000    | 0.018658    -1.851878    | 1.833216    1.408580    
9.100000    | -0.164158    -1.802899    | 1.967051    1.267430    
9.200000    | -0.341624    -1.744961    | 2.086578    1.122567    
9.300000    | -0.512870    -1.678608    | 2.191471    0.974896    
9.400000    | -0.677084    -1.604418    | 2.281494    0.825315    
9.500000    | -0.833512    -1.522996    | 2.356500    0.674712    
9.600000    | -0.981463    -1.434977    | 2.416431    0.523960    
9.700000    | -1.120310    -1.341016    | 2.461316    0.373910    
9.800000    | -1.249491    -1.241784    | 2.491264    0.225389    
9.900000    | -1.368514    -1.137968    | 2.506471    0.079197    
10.000000    | -1.476955    -1.030263    | 2.507207    -0.063901    
10.100000    | -1.574460    -0.919370    | 2.493818    -0.203175    
10.200000    | -1.660746    -0.805988    | 2.466722    -0.337934    
10.300000    | -1.735598    -0.690817    | 2.426404    -0.467528    
10.400000    | -1.798872    -0.574548    | 2.373409    -0.591353    
10.500000    | -1.850494    -0.457862    | 2.308344    -0.708854    
